Address,Total_Staked,Status,Stake_Count,Is_Active,Rank,Alias
0x5668a3aeea8534ddf32d93f04d8081a6db7580fa,471655.876228,VIRGEN,1,True,1,VIRGEN#0001
0x56d5321305256ed61f7c6f2c4dadf4bf2c6c0331,105400.0,VIRGEN,1,True,2,VIRGEN#0002
0xc100af61380e6a36bbca9107dcfaf8d298bbdd93,74459.390252,VIRGEN,2,True,3,VIRGEN#0003
0xfd028ab5c18b15c06a3d0283f95c5dd436305bea,37366.669884,VIRGEN,1,True,4,VIRGEN#0004
0xcb33bae7ee0aa578291b96866dab2497645126c9,37259.107965,VIRGEN,2,True,5,VIRGEN#0005
0x69dc7c2fa885f5f3a317286c3f139775d9238257,4586.640166,VIRGEN,1,True,6,VIRGEN#0006
0x942878c125516fc0c2484202fd87d2bc23af207b,4565.28053,VIRGEN,1,True,7,VIRGEN#0007
0x520621aa20005a8ae1058f5b579002ad2f3c8e59,4548.207641,VIRGEN,1,True,8,VIRGEN#0008
0x00c2af578daa23df35a46ccd6d7982333f993517,4533.843016,VIRGEN,1,True,9,VIRGEN#0009
0x1cbd21df5df367dbf060b6f15dee22f5c772cb3c,4486.26052,VIRGEN,1,True,10,VIRGEN#0010
0x24039e6167d8f481903269398e27a1db2a4be73c,3722.623986,VIRGEN,1,True,11,VIRGEN#0011
0x829940b3411ad03f00f4aeaa82051562857ed987,3694.154742,VIRGEN,1,True,12,VIRGEN#0012
0xcf6cb9354819e0ec7cb583e77b2647dca2d64588,2272.251047,VIRGEN,1,True,13,VIRGEN#0013
0x240a05e0c715d274557e57fb0e68baf21bbe1414,0.332923,VIRGEN,1,True,14,VIRGEN#0014
